Entry	Reviewed	Entry Name	Gene Names	EC number	Gene Ontology (GO)	Organism (ID)
D8GRX5	unreviewed	D8GRX5_CLOLD	rlmN CLJU_c12600	2.1.1.192	cytoplasm [GO:0005737]; 4 iron, 4 sulfur cluster binding [GO:0051539]; metal ion binding [GO:0046872]; rRNA (adenine(2503)-C2-)-methyltransferase activity [GO:0070040]; rRNA binding [GO:0019843]; tRNA (adenine(37)-C2)-methyltransferase activity [GO:0002935]; tRNA binding [GO:0000049]; rRNA base methylation [GO:0070475]; tRNA methylation [GO:0030488]	748727
D8GSB6	unreviewed	D8GSB6_CLOLD	asd CLJU_c34570	1.2.1.11	aspartate-semialdehyde dehydrogenase activity [GO:0004073]; NAD binding [GO:0051287]; NADP binding [GO:0050661]; protein dimerization activity [GO:0046983]; 'de novo' L-methionine biosynthetic process [GO:0071266]; diaminopimelate biosynthetic process [GO:0019877]; isoleucine biosynthetic process [GO:0009097]; lysine biosynthetic process via diaminopimelate [GO:0009089]; threonine biosynthetic process [GO:0009088]	748727
D8GTB2	unreviewed	D8GTB2_CLOLD	CLJU_c36850	3.6.1.66	dITP diphosphatase activity [GO:0035870]; ITP diphosphatase activity [GO:0036220]; metal ion binding [GO:0046872]; nucleotide binding [GO:0000166]; ribonucleoside triphosphate phosphatase activity [GO:0017111]; XTP diphosphatase activity [GO:0036222]; nucleotide metabolic process [GO:0009117]; purine nucleoside triphosphate catabolic process [GO:0009146]	748727
D8GI06	unreviewed	D8GI06_CLOLD	dapB CLJU_c18050	1.17.1.8	cytoplasm [GO:0005737]; 4-hydroxy-tetrahydrodipicolinate reductase [GO:0008839]; NAD binding [GO:0051287]; NADP binding [GO:0050661]; oxidoreductase activity, acting on CH or CH2 groups, NAD or NADP as acceptor [GO:0016726]; diaminopimelate biosynthetic process [GO:0019877]; lysine biosynthetic process via diaminopimelate [GO:0009089]	748727
D8GI14	unreviewed	D8GI14_CLOLD	deoC CLJU_c18130	4.1.2.4	cytoplasm [GO:0005737]; deoxyribose-phosphate aldolase activity [GO:0004139]; 2-deoxyribose 1-phosphate catabolic process [GO:0006018]; carbohydrate catabolic process [GO:0016052]; deoxyribonucleotide catabolic process [GO:0009264]	748727
D8GI16	unreviewed	D8GI16_CLOLD	deoB CLJU_c18150	5.4.2.7	cytoplasm [GO:0005737]; magnesium ion binding [GO:0000287]; manganese ion binding [GO:0030145]; phosphopentomutase activity [GO:0008973]; 2-deoxyribose 1-phosphate catabolic process [GO:0006018]; 5-phosphoribose 1-diphosphate biosynthetic process [GO:0006015]; cellular metabolic compound salvage [GO:0043094]; nucleotide metabolic process [GO:0009117]	748727
D8GI17	unreviewed	D8GI17_CLOLD	pdp CLJU_c18160	2.4.2.2	cytosol [GO:0005829]; 1,4-alpha-oligoglucan phosphorylase activity [GO:0004645]; deoxyuridine phosphorylase activity [GO:0047847]; thymidine phosphorylase activity [GO:0009032]; uridine phosphorylase activity [GO:0004850]; pyrimidine nucleobase metabolic process [GO:0006206]; pyrimidine nucleoside metabolic process [GO:0006213]	748727
D8GIA3	unreviewed	D8GIA3_CLOLD	ggt CLJU_c19030	2.3.2.2; 3.4.19.13	glutathione hydrolase activity [GO:0036374]; leukotriene C4 gamma-glutamyl transferase activity [GO:0103068]; glutathione biosynthetic process [GO:0006750]; glutathione catabolic process [GO:0006751]	748727
D8GID2	unreviewed	D8GID2_CLOLD	pflA2 cutD CLJU_c39820	1.97.1.-	4 iron, 4 sulfur cluster binding [GO:0051539]; lyase activity [GO:0016829]; metal ion binding [GO:0046872]; oxidoreductase activity [GO:0016491]; choline catabolic process [GO:0042426]	748727
D8GID3	unreviewed	D8GID3_CLOLD	pflB3 cutC CLJU_c39830	4.3.99.4	acyltransferase activity [GO:0016746]; carbon-nitrogen lyase activity [GO:0016840]; choline catabolic process [GO:0042426]	748727
D8GII0	unreviewed	D8GII0_CLOLD	menG CLJU_c40300	2.1.1.163	demethylmenaquinone methyltransferase activity [GO:0043770]; S-adenosylmethionine:2-demethylmenaquinol methyltransferase activity [GO:0102094]; S-adenosylmethionine:2-demethylmenaquinol-7 methyltransferase activity [GO:0102955]; S-adenosylmethionine:2-demethylquinol-8 methyltransferase activity [GO:0102027]; menaquinone biosynthetic process [GO:0009234]; methylation [GO:0032259]	748727
D8GII9	unreviewed	D8GII9_CLOLD	alr3 CLJU_c40390	5.1.1.1	cytosol [GO:0005829]; alanine racemase activity [GO:0008784]; pyridoxal phosphate binding [GO:0030170]; D-alanine biosynthetic process [GO:0030632]; peptidoglycan biosynthetic process [GO:0009252]	748727
D8GIJ2	unreviewed	D8GIJ2_CLOLD	glmS CLJU_c40420	2.6.1.16	cytoplasm [GO:0005737]; carbohydrate derivative binding [GO:0097367]; glutamine-fructose-6-phosphate transaminase (isomerizing) activity [GO:0004360]; carbohydrate derivative biosynthetic process [GO:1901137]; carbohydrate metabolic process [GO:0005975]; glutamine metabolic process [GO:0006541]	748727
D8GIK3	unreviewed	D8GIK3_CLOLD	pts1 CLJU_c40530	2.7.3.9	cytoplasm [GO:0005737]; kinase activity [GO:0016301]; metal ion binding [GO:0046872]; phosphoenolpyruvate-protein phosphotransferase activity [GO:0008965]; phosphoenolpyruvate-dependent sugar phosphotransferase system [GO:0009401]	748727
D8GIL2	unreviewed	D8GIL2_CLOLD	mutE glmE CLJU_c40620	5.4.99.1	cobalamin binding [GO:0031419]; methylaspartate mutase activity [GO:0050097]; anaerobic glutamate catabolic process [GO:0019670]; glutamate catabolic process via L-citramalate [GO:0019553]	748727
D8GIL4	unreviewed	D8GIL4_CLOLD	mutS4 glmS CLJU_c40640	5.4.99.1	cobalamin binding [GO:0031419]; metal ion binding [GO:0046872]; methylaspartate mutase activity [GO:0050097]; anaerobic glutamate catabolic process [GO:0019670]; glutamate catabolic process via L-citramalate [GO:0019553]	748727
D8GIM2	unreviewed	D8GIM2_CLOLD	truA CLJU_c40720	5.4.99.12	RNA binding [GO:0003723]; tRNA pseudouridine(38-40) synthase activity [GO:0160147]; tRNA pseudouridine synthesis [GO:0031119]	748727
D8GIM7	unreviewed	D8GIM7_CLOLD	rpoA CLJU_c40770	2.7.7.6	cytoplasm [GO:0005737]; DNA-directed RNA polymerase complex [GO:0000428]; DNA binding [GO:0003677]; DNA-directed 5'-3' RNA polymerase activity [GO:0003899]; protein dimerization activity [GO:0046983]; DNA-templated transcription [GO:0006351]	748727
D8GIN3	unreviewed	D8GIN3_CLOLD	adk CLJU_c40830	2.7.4.3	cytoplasm [GO:0005737]; adenylate kinase activity [GO:0004017]; ATP binding [GO:0005524]; zinc ion binding [GO:0008270]; AMP salvage [GO:0044209]	748727
D8GIR6	unreviewed	D8GIR6_CLOLD	pepT CLJU_c19290	3.4.11.4	cytosol [GO:0005829]; metallopeptidase activity [GO:0008237]; tripeptide aminopeptidase activity [GO:0045148]; zinc ion binding [GO:0008270]; peptide catabolic process [GO:0043171]; proteolysis [GO:0006508]	748727
D8GIR8	unreviewed	D8GIR8_CLOLD	pepT CLJU_c19310	3.4.11.4	cytosol [GO:0005829]; metallopeptidase activity [GO:0008237]; tripeptide aminopeptidase activity [GO:0045148]; zinc ion binding [GO:0008270]; peptide catabolic process [GO:0043171]; proteolysis [GO:0006508]	748727
D8GIW4	unreviewed	D8GIW4_CLOLD	htpG CLJU_c19770		cytosol [GO:0005829]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATP-dependent protein folding chaperone [GO:0140662]; unfolded protein binding [GO:0051082]; DNA damage response [GO:0006974]; response to heat [GO:0009408]	748727
D8GJ14	unreviewed	D8GJ14_CLOLD	nfo CLJU_c20270	3.1.21.2	deoxyribonuclease IV (phage-T4-induced) activity [GO:0008833]; DNA binding [GO:0003677]; DNA-(apurinic or apyrimidinic site) endonuclease activity [GO:0003906]; phosphoric diester hydrolase activity [GO:0008081]; zinc ion binding [GO:0008270]; base-excision repair [GO:0006284]	748727
D8GJ28	unreviewed	D8GJ28_CLOLD	ilvD CLJU_c20410	4.2.1.9	cytosol [GO:0005829]; 2 iron, 2 sulfur cluster binding [GO:0051537]; dihydroxy-acid dehydratase activity [GO:0004160]; magnesium ion binding [GO:0000287]; isoleucine biosynthetic process [GO:0009097]; valine biosynthetic process [GO:0009099]	748727
D8GJ30	unreviewed	D8GJ30_CLOLD	ilvH CLJU_c20430	2.2.1.6	cytosol [GO:0005829]; acetolactate synthase activity [GO:0003984]; acetolactate synthase regulator activity [GO:1990610]; isoleucine biosynthetic process [GO:0009097]; valine biosynthetic process [GO:0009099]	748727
D8GJ47	unreviewed	D8GJ47_CLOLD	rpoC CLJU_c41110	2.7.7.6	DNA-directed RNA polymerase complex [GO:0000428]; DNA binding [GO:0003677]; DNA-directed 5'-3' RNA polymerase activity [GO:0003899]; magnesium ion binding [GO:0000287]; zinc ion binding [GO:0008270]; DNA-templated transcription [GO:0006351]	748727
D8GJ48	unreviewed	D8GJ48_CLOLD	rpoB CLJU_c41120	2.7.7.6	DNA-directed RNA polymerase complex [GO:0000428]; DNA binding [GO:0003677]; DNA-directed 5'-3' RNA polymerase activity [GO:0003899]; ribonucleoside binding [GO:0032549]; DNA-templated transcription [GO:0006351]	748727
D8GJ61	unreviewed	D8GJ61_CLOLD	cysS CLJU_c41270	6.1.1.16	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; cysteine-tRNA ligase activity [GO:0004817]; zinc ion binding [GO:0008270]; cysteinyl-tRNA aminoacylation [GO:0006423]	748727
D8GJ65	unreviewed	D8GJ65_CLOLD	disA CLJU_c41310	2.7.7.85	ATP binding [GO:0005524]; diadenylate cyclase activity [GO:0106408]; DNA binding [GO:0003677]; DNA repair [GO:0006281]	748727
D8GJ73	unreviewed	D8GJ73_CLOLD	murD CLJU_c41450	6.3.2.9	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; UDP-N-acetylmuramoylalanine-D-glutamate ligase activity [GO:0008764]; cell division [GO:0051301]; cell wall organization [GO:0071555]; peptidoglycan biosynthetic process [GO:0009252]; regulation of cell shape [GO:0008360]	748727
D8GJ74	unreviewed	D8GJ74_CLOLD	glyS glyQS CLJU_c41460	6.1.1.14	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; glycine-tRNA ligase activity [GO:0004820]; transferase activity [GO:0016740]; glycyl-tRNA aminoacylation [GO:0006426]	748727
D8GJ75	unreviewed	D8GJ75_CLOLD	lysS CLJU_c41480	6.1.1.6	cytosol [GO:0005829]; ATP binding [GO:0005524]; lysine-tRNA ligase activity [GO:0004824]; magnesium ion binding [GO:0000287]; transferase activity [GO:0016740]; tRNA binding [GO:0000049]; lysyl-tRNA aminoacylation [GO:0006430]	748727
D8GJ79	unreviewed	D8GJ79_CLOLD	coaX CLJU_c41520	2.7.1.33	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; metal ion binding [GO:0046872]; pantothenate kinase activity [GO:0004594]; coenzyme A biosynthetic process [GO:0015937]	748727
D8GJ80	unreviewed	D8GJ80_CLOLD	ftsH3 ftsH CLJU_c41530	3.4.24.-	plasma membrane [GO:0005886]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATP-dependent peptidase activity [GO:0004176]; metalloendopeptidase activity [GO:0004222]; zinc ion binding [GO:0008270]; protein catabolic process [GO:0030163]; proteolysis [GO:0006508]	748727
D8GJ81	unreviewed	D8GJ81_CLOLD	hpt CLJU_c41540	2.4.2.8	cytoplasm [GO:0005737]; guanine phosphoribosyltransferase activity [GO:0052657]; hypoxanthine phosphoribosyltransferase activity [GO:0004422]; metal ion binding [GO:0046872]; nucleotide binding [GO:0000166]; IMP salvage [GO:0032264]; purine ribonucleoside salvage [GO:0006166]	748727
D8GJ82	unreviewed	D8GJ82_CLOLD	tilS CLJU_c41550	6.3.4.19	cytoplasm [GO:0005737]; membrane [GO:0016020]; ATP binding [GO:0005524]; ligase activity, forming carbon-nitrogen bonds [GO:0016879]; tRNA modification [GO:0006400]	748727
D8GJ99	unreviewed	D8GJ99_CLOLD	prs CLJU_c41770	2.7.6.1	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; kinase activity [GO:0016301]; magnesium ion binding [GO:0000287]; ribose phosphate diphosphokinase activity [GO:0004749]; 5-phosphoribose 1-diphosphate biosynthetic process [GO:0006015]; nucleotide biosynthetic process [GO:0009165]; ribonucleoside monophosphate biosynthetic process [GO:0009156]	748727
D8GJA3	unreviewed	D8GJA3_CLOLD	murC CLJU_c41810	6.3.2.8	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; UDP-N-acetylmuramate-L-alanine ligase activity [GO:0008763]; cell division [GO:0051301]; cell wall organization [GO:0071555]; peptidoglycan biosynthetic process [GO:0009252]; regulation of cell shape [GO:0008360]	748727
D8GJB9	unreviewed	D8GJB9_CLOLD	murA CLJU_c41980	2.5.1.7	cytoplasm [GO:0005737]; UDP-N-acetylglucosamine 1-carboxyvinyltransferase activity [GO:0008760]; cell division [GO:0051301]; cell wall organization [GO:0071555]; peptidoglycan biosynthetic process [GO:0009252]; regulation of cell shape [GO:0008360]; UDP-N-acetylgalactosamine biosynthetic process [GO:0019277]	748727
D8GJD2	unreviewed	D8GJD2_CLOLD	accD CLJU_c42110	2.1.3.15	acetyl-CoA carboxylase complex [GO:0009317]; acetyl-CoA carboxylase activity [GO:0003989]; ATP binding [GO:0005524]; carboxyl- or carbamoyltransferase activity [GO:0016743]; zinc ion binding [GO:0008270]; fatty acid biosynthetic process [GO:0006633]; malonyl-CoA biosynthetic process [GO:2001295]	748727
D8GJD7	unreviewed	D8GJD7_CLOLD	fabG2 CLJU_c42160	1.1.1.100	3-oxoacyl-[acyl-carrier-protein] reductase (NADPH) activity [GO:0004316]; NAD binding [GO:0051287]; fatty acid biosynthetic process [GO:0006633]; steroid metabolic process [GO:0008202]	748727
D8GJE0	unreviewed	D8GJE0_CLOLD	fabH CLJU_c42190	2.3.1.180	cytoplasm [GO:0005737]; 3-oxoacyl-[acyl-carrier-protein] synthase activity [GO:0004315]; beta-ketoacyl-acyl-carrier-protein synthase III activity [GO:0033818]; fatty acid biosynthetic process [GO:0006633]	748727
D8GJE9	unreviewed	D8GJE9_CLOLD	purA CLJU_c42350	6.3.4.4	cytoplasm [GO:0005737]; adenylosuccinate synthase activity [GO:0004019]; GTP binding [GO:0005525]; magnesium ion binding [GO:0000287]; 'de novo' AMP biosynthetic process [GO:0044208]	748727
D8GJG1	unreviewed	D8GJG1_CLOLD	CLJU_c20600	2.7.1.144	cytosol [GO:0005829]; 1-phosphofructokinase activity [GO:0008662]; ATP binding [GO:0005524]; tagatose-6-phosphate kinase activity [GO:0009024]; D-tagatose 6-phosphate catabolic process [GO:2001059]; lactose metabolic process [GO:0005988]	748727
D8GJI6	unreviewed	D8GJI6_CLOLD	cysS CLJU_c20850	6.1.1.16	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; cysteine-tRNA ligase activity [GO:0004817]; zinc ion binding [GO:0008270]; cysteinyl-tRNA aminoacylation [GO:0006423]	748727
D8GJK2	unreviewed	D8GJK2_CLOLD	lexA CLJU_c21030	3.4.21.88	DNA binding [GO:0003677]; serine-type endopeptidase activity [GO:0004252]; DNA repair [GO:0006281]; DNA replication [GO:0006260]; negative regulation of DNA-templated transcription [GO:0045892]; proteolysis [GO:0006508]; SOS response [GO:0009432]	748727
D8GJK3	unreviewed	D8GJK3_CLOLD	dinB CLJU_c21040	2.7.7.7	cytosol [GO:0005829]; damaged DNA binding [GO:0003684]; DNA-directed DNA polymerase activity [GO:0003887]; magnesium ion binding [GO:0000287]; DNA-templated DNA replication [GO:0006261]; error-prone translesion synthesis [GO:0042276]; SOS response [GO:0009432]	748727
D8GJM1	unreviewed	D8GJM1_CLOLD	miaA CLJU_c21220	2.5.1.75	ATP binding [GO:0005524]; tRNA dimethylallyltransferase activity [GO:0052381]; tRNA processing [GO:0008033]	748727
D8GJM4	unreviewed	D8GJM4_CLOLD	miaB CLJU_c21250	2.8.4.3	cytoplasm [GO:0005737]; 4 iron, 4 sulfur cluster binding [GO:0051539]; metal ion binding [GO:0046872]; methylthiotransferase activity [GO:0035596]; tRNA modification [GO:0006400]	748727
D8GJN0	unreviewed	D8GJN0_CLOLD	speH CLJU_c21310	4.1.1.50	cytosol [GO:0005829]; adenosylmethionine decarboxylase activity [GO:0004014]; spermidine biosynthetic process [GO:0008295]	748727
D8GJN1	unreviewed	D8GJN1_CLOLD	ispH CLJU_c21320	1.17.7.4	4 iron, 4 sulfur cluster binding [GO:0051539]; 4-hydroxy-3-methylbut-2-enyl diphosphate reductase activity [GO:0051745]; metal ion binding [GO:0046872]; nucleic acid binding [GO:0003676]; dimethylallyl diphosphate biosynthetic process [GO:0050992]; isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway [GO:0019288]; terpenoid biosynthetic process [GO:0016114]	748727
D8GJP0	unreviewed	D8GJP0_CLOLD	mobA CLJU_c21410	2.7.7.77	cytoplasm [GO:0005737]; GTP binding [GO:0005525]; metal ion binding [GO:0046872]; molybdenum cofactor guanylyltransferase activity [GO:0061603]; Mo-molybdopterin cofactor biosynthetic process [GO:0006777]	748727
D8GJP1	unreviewed	D8GJP1_CLOLD	hutG CLJU_c21420	3.5.3.8	agmatinase activity [GO:0008783]; formimidoylglutamase activity [GO:0050415]; manganese ion binding [GO:0030145]; L-histidine catabolic process to glutamate and formamide [GO:0019556]; L-histidine catabolic process to glutamate and formate [GO:0019557]; putrescine biosynthetic process from arginine, using agmatinase [GO:0033389]	748727
D8GJP6	unreviewed	D8GJP6_CLOLD	hutI CLJU_c21470	3.5.2.7	cytoplasm [GO:0005737]; imidazolonepropionase activity [GO:0050480]; iron ion binding [GO:0005506]; zinc ion binding [GO:0008270]; L-histidine catabolic process to glutamate and formamide [GO:0019556]; L-histidine catabolic process to glutamate and formate [GO:0019557]	748727
D8GJP7	unreviewed	D8GJP7_CLOLD	hutU CLJU_c21480	4.2.1.49	cytoplasm [GO:0005737]; urocanate hydratase activity [GO:0016153]; L-histidine catabolic process to glutamate and formamide [GO:0019556]; L-histidine catabolic process to glutamate and formate [GO:0019557]	748727
D8GJQ0	unreviewed	D8GJQ0_CLOLD	argD CLJU_c21510	2.6.1.11	cytoplasm [GO:0005737]; identical protein binding [GO:0042802]; N2-acetyl-L-ornithine:2-oxoglutarate 5-aminotransferase activity [GO:0003992]; pyridoxal phosphate binding [GO:0030170]; arginine biosynthetic process [GO:0006526]	748727
D8GJQ1	unreviewed	D8GJQ1_CLOLD	argB CLJU_c21520	2.7.2.8	cytoplasm [GO:0005737]; acetylglutamate kinase activity [GO:0003991]; ATP binding [GO:0005524]; arginine biosynthetic process via ornithine [GO:0042450]	748727
D8GJQ3	unreviewed	D8GJQ3_CLOLD	argC CLJU_c21540	1.2.1.38	cytoplasm [GO:0005737]; N-acetyl-gamma-glutamyl-phosphate reductase activity [GO:0003942]; NAD binding [GO:0051287]; NADP+ binding [GO:0070401]; arginine biosynthetic process [GO:0006526]	748727
D8GJV6	unreviewed	D8GJV6_CLOLD	ptcA CLJU_c42560	2.1.3.6	cytoplasm [GO:0005737]; amino acid binding [GO:0016597]; ornithine carbamoyltransferase activity [GO:0004585]; putrescine carbamoyltransferase activity [GO:0050231]; putrescine biosynthetic process from arginine via N-carbamoylputrescine [GO:0033390]	748727
D8GJV9	unreviewed	D8GJV9_CLOLD	rhaD CLJU_c42590	4.1.2.19	cytosol [GO:0005829]; metal ion binding [GO:0046872]; rhamnulose-1-phosphate aldolase activity [GO:0008994]; pentose catabolic process [GO:0019323]; rhamnose catabolic process [GO:0019301]	748727
D8GJW1	unreviewed	D8GJW1_CLOLD	rhaB CLJU_c42610	2.7.1.5	ATP binding [GO:0005524]; rhamnulokinase activity [GO:0008993]; rhamnose catabolic process [GO:0019301]	748727
D8GJZ1	unreviewed	D8GJZ1_CLOLD	mnmE trmE CLJU_c42920	3.6.-.-	cytoplasm [GO:0005737]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; metal ion binding [GO:0046872]; tRNA modification [GO:0006400]	748727
D8GK02	unreviewed	D8GK02_CLOLD	gyrB1 gyrB CLJU_c00060	5.6.2.2	chromosome [GO:0005694]; cytoplasm [GO:0005737]; ATP binding [GO:0005524]; DNA binding [GO:0003677]; DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity [GO:0003918]; metal ion binding [GO:0046872]; DNA topological change [GO:0006265]; DNA-templated DNA replication [GO:0006261]	748727
D8GK03	unreviewed	D8GK03_CLOLD	gyrA1 gyrA CLJU_c00070	5.6.2.2	chromosome [GO:0005694]; cytoplasm [GO:0005737]; ATP binding [GO:0005524]; DNA binding [GO:0003677]; DNA negative supercoiling activity [GO:0034335]; DNA topological change [GO:0006265]; DNA-templated DNA replication [GO:0006261]	748727
D8GK09	unreviewed	D8GK09_CLOLD	serS CLJU_c00170	6.1.1.11	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; serine-tRNA ligase activity [GO:0004828]; transferase activity [GO:0016740]; selenocysteine biosynthetic process [GO:0016260]; seryl-tRNA aminoacylation [GO:0006434]	748727
D8GK58	unreviewed	D8GK58_CLOLD	psd CLJU_c00710	4.1.1.65	plasma membrane [GO:0005886]; phosphatidylserine decarboxylase activity [GO:0004609]; phosphatidylethanolamine biosynthetic process [GO:0006646]	748727
D8GKA5	unreviewed	D8GKA5_CLOLD	npdA cobB CLJU_c01320	2.3.1.286	cytoplasm [GO:0005737]; NAD+ binding [GO:0070403]; NAD-dependent protein lysine deacetylase activity [GO:0034979]; transferase activity [GO:0016740]; zinc ion binding [GO:0008270]	748727
D8GKB1	unreviewed	D8GKB1_CLOLD	hprK CLJU_c21910	2.7.11.-; 2.7.4.-	ATP binding [GO:0005524]; magnesium ion binding [GO:0000287]; phosphorelay sensor kinase activity [GO:0000155]; protein serine/threonine kinase activity [GO:0004674]; protein serine/threonine/tyrosine kinase activity [GO:0004712]; regulation of carbohydrate metabolic process [GO:0006109]	748727
D8GKC9	unreviewed	D8GKC9_CLOLD	ribD CLJU_c22090	1.1.1.193; 3.5.4.26	5-amino-6-(5-phosphoribosylamino)uracil reductase activity [GO:0008703]; diaminohydroxyphosphoribosylaminopyrimidine deaminase activity [GO:0008835]; NADP binding [GO:0050661]; zinc ion binding [GO:0008270]; riboflavin biosynthetic process [GO:0009231]	748727
